FECHA,TMAX,TMIN,NOMBRE
2024-01-28,33,16.6,CORDOBA OBSERVATORIO
2024-01-28,32.8,15,CORONEL SUAREZ AERO
2024-01-28,33,19.3,CORRIENTES AERO
2024-01-28,,18.5,DOLORES AERO
2024-01-28,30.6,10.5,EL BOLSON AERO
2024-01-28,19.9,6.5,EL CALAFATE AERO
2024-01-28,29.8,20.2,EL PALOMAR AERO
2024-01-28,,16.4,ESCUELA DE AVIACION MILITAR AERO
2024-01-28,25.7,9.6,ESQUEL AERO
2024-01-28,30.5,19.5,EZEIZA AERO
2024-01-28,33.7,19.2,FORMOSA AERO
2024-01-28,32.8,18,GENERAL PICO AERO
2024-01-28,26.6,9,GOBERNADOR GREGORES AERO
2024-01-28,31.1,18.9,GUALEGUAYCHU AERO
2024-01-28,32.5,15.9,IGUAZU AERO
2024-01-28,32,19,ITUZAINGO
2024-01-28,,,JACHAL
2024-01-28,33,18.2,JUJUY AERO
2024-01-28,29.6,16,JUJUY U N
2024-01-28,32.4,15,JUNIN AERO
2024-01-28,28.6,17.4,LA PLATA AERO
2024-01-28,21.5,7,LA QUIACA OBSERVATORIO
2024-01-28,39.4,22.9,LA RIOJA AERO
2024-01-28,30.6,15.8,LABOULAYE AERO
2024-01-28,31.5,16,LAS FLORES
2024-01-28,37.8,19.3,LAS LOMITAS
2024-01-28,34.6,14,MALARGUE AERO
2024-01-28,34.5,15.8,MAQUINCHAO
2024-01-28,27.7,15.7,MAR DEL PLATA AERO
2024-01-28,30.7,15.8,MARCOS JUAREZ AERO
2024-01-28,30,20,MARIANO MORENO AERO
2024-01-28,38.7,21.8,MENDOZA AERO
2024-01-28,36,20.6,MENDOZA OBSERVATORIO
2024-01-28,31.4,17.4,MERCEDES AERO (CTES)
2024-01-28,31.5,20,MERLO AERO
2024-01-28,30.8,17.5,METAN
2024-01-28,30.8,19,MONTE CASEROS AERO
2024-01-28,30.2,21.4,MORON AERO
2024-01-28,40.4,23.8,NEUQUEN AERO
2024-01-28,32.8,16.4,NUEVE DE JULIO
2024-01-28,,,OBERA
2024-01-28,31.8,16.5,OLAVARRIA AERO
2024-01-28,36.8,20.7,ORAN AERO
2024-01-28,31.5,18.5,PARANA AERO
2024-01-28,26.7,,PASO DE INDIOS
2024-01-28,31.2,19.3,PASO DE LOS LIBRES AERO
2024-01-28,32.7,15.4,PEHUAJO AERO
2024-01-28,,,PERITO MORENO AERO
2024-01-28,32,15.8,PIGUE AERO
2024-01-28,31.5,18.5,PILAR OBSERVATORIO
2024-01-28,32.6,19.8,POSADAS AERO
2024-01-28,35.4,16.3,PRESIDENCIA ROQUE SAENZ PEﾑA AERO
2024-01-28,24,11.8,PUERTO DESEADO AERO
2024-01-28,28.2,17.2,PUERTO MADRYN AERO
2024-01-28,27,20.3,PUNTA INDIO B.A.
2024-01-28,32.4,16,RAFAELA AERO
2024-01-28,31.7,19.3,RECONQUISTA AERO
2024-01-28,33.8,18.2,RESISTENCIA AERO
2024-01-28,31,19.2,RIO CUARTO AERO
2024-01-28,24.3,10.3,RIO GALLEGOS AERO
2024-01-28,20.5,6.4,RIO GRANDE B.A.
2024-01-28,40,19.8,RIVADAVIA
2024-01-28,31,18.5,ROSARIO AERO
2024-01-28,29.2,15.8,SALTA AERO
2024-01-28,37,19.6,SAN ANTONIO OESTE AERO
2024-01-28,28.5,18.5,SAN FERNANDO AERO
2024-01-28,39.6,23.5,SAN JUAN AERO
2024-01-28,25.5,9.9,SAN JULIAN AERO
2024-01-28,37.8,24.5,SAN LUIS AERO
2024-01-28,39.6,23.1,SAN MARTIN (MZA)
2024-01-28,37.8,19.1,SAN RAFAEL AERO
2024-01-28,26,10.7,SANTA CRUZ AERO
2024-01-28,34,17.8,SANTA ROSA AERO
2024-01-28,34.7,,SANTA ROSA DE CONLARA AERO
2024-01-28,38.2,21.8,SANTIAGO DEL ESTERO AERO
2024-01-28,31.3,20.3,SAUCE VIEJO AERO
2024-01-28,32.8,15.9,SUNCHALES AERO
2024-01-28,30.8,15.7,TANDIL AERO
2024-01-28,,20.5,TARTAGAL AERO
2024-01-28,37.2,22,TERMAS DE RIO HONDO AERO
2024-01-28,36,23.8,TINOGASTA
2024-01-28,27.4,13.4,TRELEW AERO
2024-01-28,33.4,18.1,TRENQUE LAUQUEN
2024-01-28,34.5,18.4,TRES ARROYOS
2024-01-28,33.7,20.2,TUCUMAN AERO
2024-01-28,18.4,7.4,USHUAIA AERO
2024-01-28,31.4,15.6,USPALLATA
2024-01-28,30,15,VENADO TUERTO AERO
2024-01-28,35.1,19.5,VICTORICA
